SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO-BG0044A_00005_500,20210126000000,20210126000000,PM10,41.6675,µg/m3,industrial,urban,6.0000,BG0044A,AMS Dolno Ezerovo-Burgas,3047387.0905,5239026.6664,,True
SPO-BG0066A_00005_100,20210126000000,20210126000000,PM10,24.72125,µg/m3,background,urban,177.0000,BG0066A,AMS Lovech,2751343.8140,5332836.5053,,True
SPO-BG0069A_00005_100,20210126000000,20210126000000,PM10,12.48125,µg/m3,background,urban,240.0000,BG0069A,AMS Sliven,2931968.9273,5262483.1398,,True
SPO-BG0070A_00005_100,20210126000000,20210126000000,PM10,5.045,µg/m3,background,rural-nearcity,1321.0000,BG0070A,AMS Kopitoto,2587495.1045,5256910.8070,,True
SPO-BG0071A_00005_100,20210126000000,20210126000000,PM10,21.3575,µg/m3,background,urban,27.0000,BG0071A,AMS Nesebar,3085882.7062,5260326.1070,,True
SPO-BG0073A_00005_100,20210126000000,20210126000000,PM10,3.84,µg/m3,traffic,urban,615.0000,BG0073A,AMS ExEA/Pavlovo-Sofia,2590226.7735,5261845.8795,,True
SPO-BG0075A_00005_100,20210126000000,20210126000000,PM10,14.94375,µg/m3,background,urban,83.0000,BG0075A,AMS SOU Angel Kanchev-Varna,3107565.1827,5346188.7471,,True
SPO-CH0011A_00005_100,20210126000000,20210126000000,PM10,7.508289,µg/m3,background,urban,280.0000,CH0011A,Lugano-Università,997099.8110,5782128.1814,,True
SPO-CH0013A_00005_100,20210126000000,20210126000000,PM10,8.505211,µg/m3,traffic,urban,445.0000,CH0013A,Zürich-Stampfenbachstrasse,950647.3007,6005439.8050,,True
SPO-CH0017A_00005_100,20210126000000,20210126000000,PM10,10.3149,µg/m3,background,urban,260.0000,CH0017A,Basel-St-Johann,844033.2848,6034937.5283,,True
SPO-CH0019A_00005_100,20210126000000,20210126000000,PM10,5.832511,µg/m3,background,rural,915.0000,CH0019A,St-Gallen-Stuelegg,1045777.5979,6008712.3710,,True
SPO-CH0021A_00005_100,20210126000000,20210126000000,PM10,8.324711,µg/m3,traffic,urban,415.0000,CH0021A,Zürich-Schimmelstrasse,948836.1326,6002825.9291,,True
SPO-CH0022A_00005_100,20210126000000,20210126000000,PM10,6.613622,µg/m3,background,suburban,484.0000,CH0022A,Ebikon-Sedel,924027.4708,5953131.4449,,True
SPO-CH0024A_00005_100,20210126000000,20210126000000,PM10,2.6683,µg/m3,background,rural,460.0000,CH0024A,Saxon,795748.4556,5802652.1160,,True
SPO-CH0060A_00005_100,20210126000000,20210126000000,PM10,7.433889,µg/m3,background,suburban,440.0000,CH0060A,Winterthur-Veltheim,970744.9215,6025423.3691,,True
SPO-CH0061A_00005_100,20210126000000,20210126000000,PM10,6.017489,µg/m3,background,urban,598.0000,CH0061A,Lausanne-Plaines-du-Loup,737191.0639,5866631.2501,,True
SPO-DK0012R_00005_101,20210126000000,20210126000000,PM10,6.983333,µg/m3,background,rural-regional,3.0000,DK0012R,"""Risoe""",1345730.1923,7497778.8248,Vor Frelsers,True
SPO-EE0019A_00005_100,20210126000000,20210126000000,PM10,2.8635,µg/m3,industrial,urban,60.0000,EE0019A,"""Kohtla-Järve""",3036642.2738,8269476.1822,Kohtla-Järve,True
SPO-EE0020A_00005_100,20210126000000,20210126000000,PM10,6.135111,µg/m3,traffic,urban,5.0000,EE0020A,"""Liivalaia""",2756333.4653,8274156.4490,Tallinn,True
SPO-EE0021A_00005_100,20210126000000,20210126000000,PM10,9.982781,µg/m3,background,urban,41.0000,EE0021A,"""Tartu""",2976095.6395,8045565.9662,Nõo,True
SPO-EE0022A_00005_100,20210126000000,20210126000000,PM10,8.729002,µg/m3,background,urban,25.0000,EE0022A,"""Narva""",3136890.4980,8262137.4494,Narva,True
SPO.DE_DEBW099_PM1_dataGroup1,20210126000000,20210126000000,PM10,9.6,µg/m3,traffic,urban,244.0000,DEBW099,Stuttgart Arnulf-Klett-Platz,1021993.0755,6238142.8879,Stuttgart,True
SPO.DE_DEBW107_PM1_dataGroup1,20210126000000,20210126000000,PM10,8.225,µg/m3,background,suburban,325.0000,DEBW107,Tübingen,1007572.5260,6191738.0036,Tübingen,True
SPO.DE_DEBW112_PM1_dataGroup1,20210126000000,20210126000000,PM10,7.775,µg/m3,background,suburban,466.0000,DEBW112,Gärtringen,991237.9492,6214941.0312,Gärtringen,True
SPO.DE_DEBW118_PM1_dataGroup1,20210126000000,20210126000000,PM10,10.7125,µg/m3,traffic,urban,239.0000,DEBW118,Stuttgart Am Neckartor,1023138.5531,6238982.5844,Stuttgart,True
SPO.DE_DEBW122_PM1_dataGroup1,20210126000000,20210126000000,PM10,7.875,µg/m3,traffic,urban,289.0000,DEBW122,Freiburg Schwarzwaldstraße,874962.2921,6104891.9598,Freiburg im Breisgau,True
SPO.DE_DEBW136_PM1_dataGroup1,20210126000000,20210126000000,PM10,9.4,µg/m3,traffic,urban,340.0000,DEBW136,Tübingen Mühlstraße,1008334.1740,6193843.1069,Tübingen,True
SPO.DE_DEBY021_PM1_dataGroup1,20210126000000,20210126000000,PM10,15.13875,µg/m3,traffic,urban,374.0000,DEBY021,Ingolstadt/Rechbergstraße,1272244.4115,6235831.0264,Ingolstadt,True
SPO.DE_DEBY028_PM1_dataGroup1,20210126000000,20210126000000,PM10,15.70875,µg/m3,traffic,urban,348.0000,DEBY028,Kelheim/Regensburger Straße,1322391.5044,6259522.4141,Kelheim,True
SPO.DE_DEBY032_PM1_dataGroup1,20210126000000,20210126000000,PM10,15.04375,µg/m3,background,urban,303.0000,DEBY032,Kulmbach/Konrad-Adenauer-Straße,1273783.4035,6464156.2013,Kulmbach,True
SPO.DE_DEBY033_PM1_dataGroup1,20210126000000,20210126000000,PM10,8.0925,µg/m3,traffic,urban,390.0000,DEBY033,Landshut/Podewilsstraße,1353316.7269,6197132.9634,Landshut,True
SPO.DE_DEBY072_PM1_dataGroup1,20210126000000,20210126000000,PM10,8.57125,µg/m3,background,rural-regional,755.0000,DEBY072,Tiefenbach/Altenschneeberg,1396933.7071,6349589.7067,Tiefenbach,True
SPO.DE_DEBY077_PM1_dataGroup1,20210126000000,20210126000000,PM10,13.10125,µg/m3,background,suburban,226.0000,DEBY077,Würzburg/Kopfklinik,1108343.6045,6412520.9060,Würzburg,True
SPO.DE_DEBY088_PM1_dataGroup1,20210126000000,20210126000000,PM10,10.69875,µg/m3,background,suburban,488.0000,DEBY088,Trostberg/Schwimmbadstraße,1395743.1452,6110458.5446,Trostberg,True
SPO.DE_DEBY089_PM1_dataGroup1,20210126000000,20210126000000,PM10,9.415,µg/m3,background,suburban,513.0000,DEBY089,München/Johanneskirchen,1296653.4363,6135716.6634,München,True
SPO.DE_DEBY188_PM1_dataGroup1,20210126000000,20210126000000,PM10,13.08125,µg/m3,background,urban,344.0000,DEBY188,Schwabach/Angerstraße,1227622.4389,6329800.4001,Schwabach,True
SPO.DE_DEHB001_PM1_dataGroup1,20210126000000,20210126000000,PM10,29.3525,µg/m3,background,urban,10.0000,DEHB001,Bremen-Mitte,981368.1405,6997281.5372,Bremen,True
SPO.DE_DEHB002_PM1_dataGroup1,20210126000000,20210126000000,PM10,34.16125,µg/m3,background,urban,7.0000,DEHB002,Bremen-Ost,992632.1145,6994112.3526,Bremen,True
SPO.DE_DEHE008_PM1_dataGroup1,20210126000000,20210126000000,PM10,21.2475,µg/m3,background,urban,100.0000,DEHE008,Frankfurt-Ost,973638.4491,6468009.4941,Frankfurt am Main,True
SPO.DE_DEHE011_PM1_dataGroup1,20210126000000,20210126000000,PM10,15.9675,µg/m3,background,urban,108.0000,DEHE011,Hanau,993144.6295,6469822.0986,Hanau,True
SPO.DE_DEHE013_PM1_dataGroup1,20210126000000,20210126000000,PM10,18.51875,µg/m3,background,urban,181.0000,DEHE013,Kassel-Mitte,1055686.9250,6677069.9356,Kassel,True
SPO.DE_DEHE018_PM1_dataGroup1,20210126000000,20210126000000,PM10,12.81875,µg/m3,background,urban,90.0000,DEHE018,Raunheim,940819.6821,6448064.1412,Raunheim,True
SPO.DE_DEHE020_PM1_dataGroup1,20210126000000,20210126000000,PM10,14.48375,µg/m3,background,urban,152.0000,DEHE020,Wetzlar,946284.5785,6545087.9291,Wetzlar,True
SPO.DE_DEHE022_PM1_dataGroup1,20210126000000,20210126000000,PM10,11.3975,µg/m3,background,urban,121.0000,DEHE022,Wiesbaden-Süd,917823.5243,6454998.9308,Wiesbaden,True
SPO.DE_DEHE045_PM1_dataGroup1,20210126000000,20210126000000,PM10,13.015,µg/m3,background,urban,209.0000,DEHE045,Michelstadt,1002095.9411,6389751.8143,Michelstadt,True
SPO.DE_DEHE046_PM1_dataGroup1,20210126000000,20210126000000,PM10,8.2175,µg/m3,background,rural,343.0000,DEHE046,Bad Arolsen,993879.4494,6697871.2825,Bad Arolsen,True
SPO.DE_DEHE049_PM1_dataGroup1,20210126000000,20210126000000,PM10,25.1825,µg/m3,traffic,urban,179.0000,DEHE049,Kassel-Fünffenster-Str.,1056546.6455,6676683.1173,Kassel,True
SPO.DE_DEHE050_PM1_dataGroup1,20210126000000,20210126000000,PM10,9.18375,µg/m3,background,rural,489.0000,DEHE050,Zierenberg,1032068.9366,6685356.9107,Zierenberg,True
